id,Category,len,color,fit_shape,length,occasion,ornamentation,pattern,print_or_pattern_type,sleeve_length,sleeve_styling,attr_10
25778,Kurtis,9,black,straight,knee length,daily,net,solid,solid,three-quarter sleeves,regular,
25779,Kurtis,9,red,straight,knee length,daily,default,default,default,three-quarter sleeves,regular,
25780,Kurtis,9,red,straight,knee length,daily,default,default,default,three-quarter sleeves,regular,
25781,Kurtis,9,navy blue,straight,knee length,daily,default,default,default,three-quarter sleeves,regular,
25782,Kurtis,9,black,straight,knee length,daily,default,default,default,three-quarter sleeves,regular,
25783,Kurtis,9,navy blue,straight,knee length,daily,default,default,default,three-quarter sleeves,regular,
25784,Kurtis,9,red,straight,knee length,daily,default,default,default,three-quarter sleeves,regular,
25785,Kurtis,9,navy blue,straight,knee length,daily,default,default,default,three-quarter sleeves,regular,
25786,Kurtis,9,maroon,a-line,knee length,daily,net,solid,solid,three-quarter sleeves,regular,
25787,Kurtis,9,black,straight,knee length,daily,default,default,default,three-quarter sleeves,regular,
25788,Kurtis,9,black,a-line,knee length,daily,net,solid,solid,three-quarter sleeves,regular,
25789,Kurtis,9,red,a-line,knee length,daily,net,solid,solid,three-quarter sleeves,regular,
25790,Kurtis,9,maroon,a-line,calf length,daily,net,solid,solid,three-quarter sleeves,regular,
25791,Kurtis,9,black,a-line,knee length,daily,net,solid,solid,short sleeves,regular,
25792,Kurtis,9,green,straight,knee length,daily,default,default,default,three-quarter sleeves,regular,
25793,Kurtis,9,maroon,straight,knee length,daily,default,default,default,three-quarter sleeves,regular,
25794,Kurtis,9,navy blue,straight,knee length,daily,default,default,default,three-quarter sleeves,regular,
25795,Kurtis,9,black,straight,knee length,daily,default,default,default,three-quarter sleeves,regular,
25796,Kurtis,9,red,straight,knee length,daily,default,default,default,three-quarter sleeves,regular,
25797,Kurtis,9,navy blue,a-line,knee length,daily,net,solid,solid,three-quarter sleeves,regular,
25798,Kurtis,9,navy blue,straight,knee length,daily,default,default,default,three-quarter sleeves,regular,
