id,Category,len,blouse_pattern,border,border_width,color,occasion,ornamentation,pallu_details,pattern,print_or_pattern_type,transparency
7432,Sarees,10,same as saree,woven design,small border,multicolor,party,jacquard,woven design,zari woven,applique,no
7433,Sarees,10,,zari,small border,cream,traditional,,,zari woven,elephant,no
7434,Sarees,10,,zari,small border,white,party,,,zari woven,floral,no
7435,Sarees,10,same as saree,woven design,big border,default,traditional,,same as saree,zari woven,ethnic motif,no
7436,Sarees,10,solid,no border,,,daily,,,,,yes
7437,Sarees,10,,zari,small border,cream,party,,,zari woven,peacock,no
7438,Sarees,10,,zari,small border,cream,party,,,zari woven,floral,yes
7439,Sarees,10,,zari,small border,white,party,,,zari woven,ethnic motif,no
7440,Sarees,10,,zari,small border,white,party,,,zari woven,floral,no
7441,Sarees,10,,solid,small border,white,traditional,,,woven design,floral,yes
7442,Sarees,10,same as saree,woven design,big border,multicolor,party,jacquard,woven design,zari woven,,no
7443,Sarees,10,same as saree,woven design,small border,multicolor,party,jacquard,woven design,zari woven,applique,no
7444,Sarees,10,,solid,big border,cream,party,,,woven design,floral,no
7445,Sarees,10,,default,small border,default,party,default,,zari woven,default,no
7446,Sarees,10,,woven design,,multicolor,traditional,,,,,no
7447,Sarees,10,,woven design,,multicolor,daily,,,,,no
7448,Sarees,10,,woven design,,default,traditional,,,zari woven,default,no
7449,Sarees,10,same as saree,zari,big border,white,traditional,default,default,zari woven,default,no
7450,Sarees,10,,zari,small border,cream,party,,,zari woven,ethnic motif,yes
7451,Sarees,10,same as saree,woven design,small border,multicolor,party,jacquard,woven design,zari woven,applique,no
7452,Sarees,10,,woven design,,multicolor,traditional,,,,,no
7453,Sarees,10,,zari,big border,default,party,,,zari woven,peacock,no
7454,Sarees,10,same as saree,woven design,big border,multicolor,traditional,,same as saree,default,ethnic motif,no
7455,Sarees,10,,woven design,,multicolor,daily,,,,,no
7456,Sarees,10,,zari,small border,cream,party,,,zari woven,elephant,yes
7457,Sarees,10,,zari,small border,cream,party,,,woven design,floral,no
7458,Sarees,10,,woven design,small border,default,traditional,,,default,default,no
7459,Sarees,10,same as saree,woven design,big border,multicolor,party,jacquard,woven design,zari woven,,no
7460,Sarees,10,same as saree,woven design,big border,multicolor,party,jacquard,woven design,zari woven,,no
7461,Sarees,10,,zari,small border,cream,party,,,zari woven,ethnic motif,no
7462,Sarees,10,,default,,default,,,,,,yes
7463,Sarees,10,same as saree,woven design,big border,multicolor,party,jacquard,woven design,zari woven,,no
7464,Sarees,10,,zari,small border,white,traditional,,,zari woven,floral,no
7465,Sarees,10,same as saree,default,small border,default,traditional,,same as saree,default,ethnic motif,no
7466,Sarees,10,,zari,small border,cream,traditional,,,zari woven,peacock,no
7467,Sarees,10,,zari,small border,cream,party,,,zari woven,peacock,yes
7468,Sarees,10,same as border,zari,big border,navy blue,party,,zari woven,solid,solid,yes
7469,Sarees,10,same as saree,woven design,small border,multicolor,party,jacquard,woven design,zari woven,,no
7470,Sarees,10,same as saree,woven design,no border,multicolor,party,jacquard,woven design,zari woven,,no
7471,Sarees,10,,zari,small border,cream,party,,,zari woven,elephant,yes
7472,Sarees,10,same as saree,woven design,big border,multicolor,party,jacquard,woven design,zari woven,,no
7473,Sarees,10,same as border,zari,small border,default,traditional,,zari woven,zari woven,default,no
7474,Sarees,10,,woven design,big border,multicolor,wedding,,default,woven design,default,no
7475,Sarees,10,,temple border,small border,cream,traditional,,,zari woven,peacock,yes
7476,Sarees,10,same as saree,woven design,big border,default,daily,,same as saree,default,default,no
7477,Sarees,10,,woven design,small border,multicolor,traditional,,same as saree,zari woven,default,no
7478,Sarees,10,same as saree,default,small border,default,,default,same as saree,printed,ethnic motif,no
7479,Sarees,10,same as border,temple border,big border,default,party,,zari woven,solid,solid,no
7480,Sarees,10,,woven design,,multicolor,daily,,,,,no
7481,Sarees,10,,,,default,party,default,,zari woven,ethnic motif,no
7482,Sarees,10,same as border,temple border,big border,navy blue,party,,zari woven,solid,solid,yes
7483,Sarees,10,same as border,woven design,small border,default,traditional,,same as saree,zari woven,ethnic motif,no
7484,Sarees,10,,zari,small border,cream,party,,,zari woven,floral,no
7485,Sarees,10,same as saree,woven design,big border,default,wedding,,same as saree,zari woven,ethnic motif,no
7486,Sarees,10,same as saree,temple border,big border,yellow,daily,jacquard,zari woven,solid,solid,yes
7487,Sarees,10,solid,zari,big border,default,party,jacquard,zari woven,solid,solid,no
7488,Sarees,10,,temple border,small border,cream,party,,,zari woven,peacock,yes
7489,Sarees,10,,zari,small border,cream,party,,,zari woven,peacock,yes
7490,Sarees,10,same as saree,woven design,big border,multicolor,wedding,,same as saree,zari woven,ethnic motif,no
7491,Sarees,10,,zari,small border,cream,party,,,zari woven,peacock,no
7492,Sarees,10,,zari,small border,cream,party,,,zari woven,floral,yes
7493,Sarees,10,same as saree,woven design,big border,multicolor,party,jacquard,woven design,zari woven,,no
7494,Sarees,10,,zari,small border,white,party,,,zari woven,peacock,no
7495,Sarees,10,,zari,small border,white,party,,,zari woven,ethnic motif,no
7496,Sarees,10,,,big border,,,jacquard,,,,
7497,Sarees,10,,zari,small border,cream,party,,,zari woven,peacock,yes
7498,Sarees,10,same as border,zari,small border,navy blue,traditional,,zari woven,zari woven,ethnic motif,no
7499,Sarees,10,,woven design,small border,white,party,,,woven design,floral,no
7500,Sarees,10,same as border,woven design,big border,multicolor,traditional,,,zari woven,ethnic motif,no
7501,Sarees,10,,zari,small border,white,party,,,zari woven,ethnic motif,no
7502,Sarees,10,same as saree,zari,small border,cream,traditional,jacquard,woven design,zari woven,peacock,yes
7503,Sarees,10,same as saree,woven design,no border,multicolor,party,jacquard,woven design,zari woven,,no
7504,Sarees,10,default,no border,no border,default,party,,zari woven,zari woven,default,no
7505,Sarees,10,same as border,zari,big border,green,party,jacquard,,solid,solid,no
7506,Sarees,10,same as saree,woven design,small border,multicolor,party,jacquard,woven design,zari woven,applique,no
7507,Sarees,10,same as saree,zari,small border,cream,party,jacquard,woven design,zari woven,peacock,no
7508,Sarees,10,,zari,small border,white,party,,,zari woven,elephant,no
7509,Sarees,10,same as saree,temple border,big border,default,party,,zari woven,woven design,checked,no
7510,Sarees,10,same as saree,woven design,small border,multicolor,party,jacquard,woven design,zari woven,,no
7511,Sarees,10,,temple border,small border,cream,party,,,zari woven,peacock,yes
7512,Sarees,10,,temple border,small border,cream,traditional,,,zari woven,peacock,no
7513,Sarees,10,,zari,small border,cream,traditional,,,zari woven,peacock,no
7514,Sarees,10,same as saree,zari,big border,navy blue,traditional,,same as saree,zari woven,ethnic motif,no
7515,Sarees,10,,zari,small border,cream,party,,,zari woven,peacock,yes
7516,Sarees,10,same as saree,woven design,big border,multicolor,wedding,,same as saree,zari woven,ethnic motif,no
7517,Sarees,10,,zari,small border,white,party,,,zari woven,ethnic motif,yes
7518,Sarees,10,same as saree,zari,small border,white,party,jacquard,woven design,zari woven,peacock,no
7519,Sarees,10,,zari,big border,pink,traditional,,zari woven,zari woven,ethnic motif,no
7520,Sarees,10,same as border,zari,big border,multicolor,daily,tassels and latkans,default,woven design,checked,no
7521,Sarees,10,default,woven design,small border,default,traditional,default,default,woven design,ethnic motif,no
7522,Sarees,10,same as saree,solid,small border,white,traditional,jacquard,woven design,woven design,floral,yes
7523,Sarees,10,,zari,small border,white,party,,,zari woven,elephant,no
7524,Sarees,10,,zari,small border,cream,party,,,zari woven,floral,no
7525,Sarees,10,,zari,small border,cream,party,,,zari woven,peacock,no
7526,Sarees,10,,,,default,party,,zari woven,zari woven,checked,no
7527,Sarees,10,same as border,zari,small border,default,party,jacquard,zari woven,solid,solid,yes
7528,Sarees,10,same as saree,woven design,small border,multicolor,party,jacquard,woven design,zari woven,applique,no
7529,Sarees,10,same as saree,zari,small border,cream,party,jacquard,woven design,zari woven,peacock,no
7530,Sarees,10,,temple border,small border,white,party,,,zari woven,peacock,no
7531,Sarees,10,same as saree,woven design,small border,multicolor,party,jacquard,woven design,zari woven,,no
7532,Sarees,10,same as saree,woven design,small border,multicolor,party,jacquard,woven design,zari woven,,no
7533,Sarees,10,same as saree,zari,big border,default,party,,zari woven,solid,solid,no
7534,Sarees,10,,temple border,small border,white,party,,,zari woven,peacock,no
7535,Sarees,10,same as saree,woven design,small border,multicolor,party,jacquard,woven design,zari woven,,no
7536,Sarees,10,same as saree,zari,small border,cream,party,jacquard,woven design,zari woven,floral,no
7537,Sarees,10,,temple border,small border,cream,party,,,zari woven,ethnic motif,no
7538,Sarees,10,default,woven design,small border,multicolor,wedding,,same as saree,zari woven,default,no
7539,Sarees,10,,zari,small border,cream,party,,,zari woven,ethnic motif,no
7540,Sarees,10,,woven design,,multicolor,traditional,,,,,no
7541,Sarees,10,default,woven design,big border,default,traditional,,zari woven,zari woven,default,no
7542,Sarees,10,same as saree,woven design,big border,multicolor,party,jacquard,woven design,zari woven,,no
7543,Sarees,10,same as saree,zari,big border,default,traditional,,zari woven,zari woven,default,no
7544,Sarees,10,,woven design,small border,multicolor,wedding,,,zari woven,default,no
7545,Sarees,10,,temple border,big border,default,traditional,,zari woven,zari woven,botanical,no
7546,Sarees,10,same as saree,woven design,big border,multicolor,party,jacquard,woven design,zari woven,,no
7547,Sarees,10,,woven design,,multicolor,daily,,,,,no
7548,Sarees,10,,zari,small border,cream,party,,,zari woven,peacock,yes
7549,Sarees,10,,woven design,big border,default,party,,same as saree,zari woven,default,no
7550,Sarees,10,same as border,default,small border,green,party,default,same as saree,printed,peacock,no
7551,Sarees,10,same as saree,,,multicolor,,,,,,
7552,Sarees,10,,temple border,big border,yellow,traditional,,,woven design,ethnic motif,no
7553,Sarees,10,default,no border,no border,default,party,,zari woven,zari woven,default,no
7554,Sarees,10,same as saree,woven design,big border,multicolor,party,jacquard,woven design,zari woven,,no
7555,Sarees,10,same as saree,woven design,small border,multicolor,party,jacquard,woven design,zari woven,,no
7556,Sarees,10,,woven design,small border,green,wedding,default,same as saree,zari woven,elephant,no
7557,Sarees,10,default,no border,no border,default,party,,zari woven,zari woven,default,no
7558,Sarees,10,,zari,big border,pink,traditional,,zari woven,zari woven,ethnic motif,no
7559,Sarees,10,,zari,small border,white,party,,,zari woven,floral,no
