id,Category,len,color,fit_shape,length,neck_collar,occasion,pattern,print_or_pattern_type,sleeve_length,sleeve_styling,surface_styling
51375,Women Tops & Tunics,10,black,regular,,,,,,,regular sleeves,
51376,Women Tops & Tunics,10,navy blue,fitted,crop,high,casual,default,solid,short sleeves,default,knitted
51377,Women Tops & Tunics,10,red,regular,regular,round neck,casual,printed,typography,sleeveless,sleeveless,
51378,Women Tops & Tunics,10,default,fitted,crop,stylised,casual,solid,solid,short sleeves,regular sleeves,default
51379,Women Tops & Tunics,10,default,boxy,regular,round neck,casual,printed,typography,short sleeves,default,
51380,Women Tops & Tunics,10,black,regular,crop,round neck,,printed,,short sleeves,regular sleeves,
51381,Women Tops & Tunics,10,maroon,regular,regular,,casual,solid,,three-quarter sleeves,,
51382,Women Tops & Tunics,10,white,fitted,regular,sweetheart neck,casual,solid,solid,short sleeves,puff sleeves,ruffles
51383,Women Tops & Tunics,10,,fitted,regular,,,,,,puff sleeves,
51384,Women Tops & Tunics,10,green,boxy,crop,round neck,casual,printed,typography,long sleeves,regular sleeves,
51385,Women Tops & Tunics,10,blue,regular,regular,v-neck,casual,solid,solid,long sleeves,,waist tie-ups
51386,Women Tops & Tunics,10,pink,fitted,regular,round neck,casual,printed,solid,short sleeves,regular sleeves,knitted
51387,Women Tops & Tunics,10,,,regular,square neck,casual,solid,,short sleeves,,
51388,Women Tops & Tunics,10,,,regular,,,solid,solid,short sleeves,puff sleeves,
51389,Women Tops & Tunics,10,black,,crop,,casual,,,long sleeves,,
51390,Women Tops & Tunics,10,pink,fitted,crop,,,,,long sleeves,regular sleeves,knitted
51391,Women Tops & Tunics,10,black,regular,regular,stylised,casual,solid,solid,short sleeves,puff sleeves,
51392,Women Tops & Tunics,10,yellow,regular,crop,v-neck,casual,solid,solid,short sleeves,puff sleeves,knitted
51393,Women Tops & Tunics,10,red,fitted,crop,stylised,casual,solid,solid,short sleeves,regular sleeves,knitted
51394,Women Tops & Tunics,10,,,,,,solid,solid,three-quarter sleeves,,knitted
51395,Women Tops & Tunics,10,,fitted,,square neck,,,,short sleeves,,
51396,Women Tops & Tunics,10,,default,,high,,,solid,,,
51397,Women Tops & Tunics,10,,regular,regular,,casual,,,,puff sleeves,
51398,Women Tops & Tunics,10,,,,v-neck,,solid,,,,knitted
51399,Women Tops & Tunics,10,,,,,casual,,,,default,
51400,Women Tops & Tunics,10,,fitted,,high,,,,,,
51401,Women Tops & Tunics,10,,,,,casual,,,,puff sleeves,
51402,Women Tops & Tunics,10,blue,fitted,regular,high,casual,solid,solid,short sleeves,regular sleeves,knitted
51403,Women Tops & Tunics,10,,,,high,,,,,,
51404,Women Tops & Tunics,10,pink,boxy,crop,round neck,casual,printed,typography,short sleeves,regular sleeves,default
51405,Women Tops & Tunics,10,maroon,default,crop,high,casual,solid,solid,short sleeves,regular sleeves,knitted
51406,Women Tops & Tunics,10,white,boxy,crop,round neck,casual,printed,graphic,short sleeves,regular sleeves,
51407,Women Tops & Tunics,10,black,regular,crop,round neck,casual,printed,default,short sleeves,regular sleeves,tie-ups
51408,Women Tops & Tunics,10,green,fitted,crop,high,casual,solid,,,,
51409,Women Tops & Tunics,10,white,fitted,regular,high,casual,default,default,short sleeves,regular sleeves,
51410,Women Tops & Tunics,10,default,,regular,,party,,,,,waist tie-ups
51411,Women Tops & Tunics,10,green,fitted,regular,round neck,casual,solid,solid,short sleeves,puff sleeves,
51412,Women Tops & Tunics,10,pink,boxy,crop,round neck,casual,printed,quirky,long sleeves,regular sleeves,
51413,Women Tops & Tunics,10,,default,,,casual,,,,regular sleeves,
51414,Women Tops & Tunics,10,,,,high,,,,,,
51415,Women Tops & Tunics,10,maroon,fitted,regular,round neck,casual,solid,solid,long sleeves,regular sleeves,
51416,Women Tops & Tunics,10,black,,,round neck,,,,short sleeves,,
