id,Category,len,color,fit_shape,length,pattern,print_or_pattern_type,sleeve_length,sleeve_styling,surface_styling,attr_9,attr_10
32601,Women Tshirts,8,multicolor,loose,long,default,default,default,regular sleeves,,,
32602,Women Tshirts,8,yellow,loose,long,default,default,long sleeves,regular sleeves,,,
32603,Women Tshirts,8,multicolor,loose,long,default,default,default,regular sleeves,,,
32604,Women Tshirts,8,multicolor,loose,long,default,default,long sleeves,regular sleeves,,,
32605,Women Tshirts,8,multicolor,loose,long,default,default,default,regular sleeves,,,
32606,Women Tshirts,8,black,boxy,crop,solid,quirky,long sleeves,,,,
32607,Women Tshirts,8,yellow,loose,long,default,default,long sleeves,regular sleeves,,,
32608,Women Tshirts,8,multicolor,loose,long,default,default,default,regular sleeves,,,
32609,Women Tshirts,8,default,,regular,solid,solid,default,,,,
32610,Women Tshirts,8,yellow,loose,long,default,default,long sleeves,regular sleeves,,,
32611,Women Tshirts,8,yellow,loose,long,default,default,long sleeves,regular sleeves,,,
32612,Women Tshirts,8,multicolor,,regular,default,default,default,cuffed sleeves,,,
32613,Women Tshirts,8,default,boxy,long,default,graphic,default,regular sleeves,,,
32614,Women Tshirts,8,pink,regular,crop,solid,graphic,default,,,,
32615,Women Tshirts,8,yellow,boxy,crop,printed,funky print,long sleeves,cuffed sleeves,,,
32616,Women Tshirts,8,default,boxy,crop,printed,funky print,long sleeves,cuffed sleeves,,,
32617,Women Tshirts,8,default,boxy,crop,printed,funky print,long sleeves,cuffed sleeves,,,
32618,Women Tshirts,8,black,boxy,crop,printed,default,long sleeves,cuffed sleeves,,,
32619,Women Tshirts,8,maroon,boxy,crop,printed,funky print,long sleeves,cuffed sleeves,,,
32620,Women Tshirts,8,black,,crop,printed,funky print,default,,,,
32621,Women Tshirts,8,default,loose,long,solid,solid,short sleeves,regular sleeves,,,
32622,Women Tshirts,8,default,regular,crop,solid,solid,default,,,,
32623,Women Tshirts,8,black,,crop,printed,quirky,default,,,,
32624,Women Tshirts,8,pink,loose,long,solid,solid,short sleeves,regular sleeves,,,
32625,Women Tshirts,8,multicolor,regular,regular,default,default,long sleeves,cuffed sleeves,,,
32626,Women Tshirts,8,pink,regular,regular,default,default,long sleeves,cuffed sleeves,,,
32627,Women Tshirts,8,black,,crop,printed,graphic,default,,,,
32628,Women Tshirts,8,yellow,loose,long,default,default,short sleeves,regular sleeves,,,
32629,Women Tshirts,8,pink,,crop,solid,solid,long sleeves,regular sleeves,,,
32630,Women Tshirts,8,pink,regular,crop,solid,solid,long sleeves,cuffed sleeves,,,
32631,Women Tshirts,8,multicolor,,regular,default,default,long sleeves,cuffed sleeves,,,
32632,Women Tshirts,8,multicolor,regular,long,solid,default,default,regular sleeves,,,
32633,Women Tshirts,8,multicolor,,regular,default,default,long sleeves,cuffed sleeves,,,
32634,Women Tshirts,8,default,loose,long,printed,typography,default,,,,
32635,Women Tshirts,8,multicolor,,regular,default,default,long sleeves,cuffed sleeves,,,
32636,Women Tshirts,8,multicolor,,regular,default,default,long sleeves,regular sleeves,,,
32637,Women Tshirts,8,default,,regular,solid,solid,long sleeves,regular sleeves,,,
